Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	5.307580
A:	0.230599
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
3.247070	599.743902	3.710937	17656.000000	17389.171396	2.008104
3.271484	453.743902	3.735352	17637.000000	17327.015168	2.334146
3.295898	365.743902	3.759766	17308.000000	17267.006400	0.311597
3.320312	331.743902	3.784180	17599.000000	17209.135235	2.938800
3.344727	272.743902	3.808594	17446.000000	17146.175814	2.269963
3.369141	202.743902	3.833008	17429.000000	17086.065866	2.597613
3.393555	161.743902	3.857422	17351.000000	17030.421744	2.433727
3.417969	150.743902	3.881836	17108.000000	16973.403557	1.029044
3.442383	136.743902	3.906250	17118.000000	16917.578147	1.531858
3.466797	126.743902	3.930664	16744.000000	16870.156088	-0.974942
3.491211	120.743902	3.955078	16875.000000	16819.227249	0.429339
3.515625	103.743902	3.979492	16899.000000	16768.532138	1.003629
3.540039	84.743902	4.003906	16853.000000	16718.768008	1.033993
3.564453	96.743902	4.028320	16710.000000	16666.438951	0.336985
3.588867	81.743902	4.052734	16756.000000	16611.556737	1.115866
3.613281	93.743902	4.077148	16859.000000	16554.598635	2.344394
3.637695	65.743902	4.101562	16524.000000	16499.996912	0.186728
3.662109	93.743902	4.125977	16459.000000	16442.852463	0.125865
3.686523	82.743902	4.150391	16166.000000	16381.547526	-1.695281
3.710937	70.743902	4.174805	16106.000000	16319.127280	-1.679365
3.735352	75.743902	4.199219	16309.000000	16257.691826	0.401766
3.759766	83.743902	4.223633	16070.000000	16195.839990	-0.992683
3.784180	91.743902	4.248047	16089.000000	16128.685390	-0.312872
3.808594	68.743902	4.272461	15958.000000	16063.468412	-0.834898
3.833008	79.743902	4.296875	15979.000000	15998.783509	-0.156505
3.857422	97.743902	4.321289	16075.000000	15931.834930	1.129176
3.881836	90.743902	4.345703	16048.000000	15862.400288	1.465099
3.906250	94.743902	4.370117	15910.000000	15794.448180	0.916098
3.930664	129.743902	4.394531	15690.000000	15729.834009	-0.318011
3.955078	113.743902	4.418945	15613.000000	15661.093631	-0.384897
3.979492	113.743902	4.443359	15536.000000	15594.530928	-0.469587
4.003906	116.743902	4.467773	15572.000000	15526.644270	0.363463
4.028320	104.743902	4.492187	15467.000000	15458.370836	0.069385
4.052734	92.743902	4.516602	15162.000000	15390.643504	-1.856866
4.077148	82.743902	4.541016	15114.000000	15324.856422	-1.715130
4.101562	91.743902	4.565430	15148.000000	15257.974601	-0.893542
4.125977	79.743902	4.589844	15001.000000	15191.865272	-1.558356
4.150391	60.743902	4.614258	14816.000000	15125.593785	-2.543471
4.174805	54.743902	4.638672	14974.000000	15060.557541	-0.707353
4.199219	57.743902	4.663086	14688.000000	14994.423111	-2.528367
4.223633	54.743902	4.687500	14417.000000	14930.687174	-4.278202
4.248047	30.743902	4.711914	14718.000000	14866.312635	-1.222514
4.272461	37.743902	4.736328	14544.000000	14802.233530	-2.141266
4.296875	38.743902	4.760742	14730.000000	14735.887969	-0.048514
4.321289	27.743902	4.785156	14581.000000	14672.640195	-0.758914
4.345703	15.743902	4.809570	14400.000000	14606.889374	-1.724078
4.370117	20.743902	4.833984	14040.000000	14542.138630	-4.237796
4.394531	33.743902	4.858398	14122.000000	14478.150597	-2.996992
4.418945	14.743902	4.882812	14084.000000	14413.757895	-2.778639
4.443359	22.743902	4.907227	14038.000000	14350.359038	-2.636340
4.467773	15.743902	4.931641	14132.000000	14287.949463	-1.311844
4.492187	12.743902	4.956055	13911.000000	14224.196874	-2.655451
4.516602	13.743902	4.980469	13952.000000	14160.969638	-1.769151
4.541016	20.743902	5.004883	13692.000000	14098.265347	-3.471973
4.565430	14.743902	5.029297	13713.000000	14036.081599	-2.758964
4.589844	16.743902	5.053711	13646.000000	13973.950454	-2.807408
4.614258	14.743902	5.078125	13595.000000	13911.871671	-2.717652
4.638672	18.743902	5.102539	13549.000000	13851.241664	-2.596574
4.663086	12.743902	5.126953	13375.000000	13789.260475	-3.582008
4.687500	21.743902	5.151367	13467.000000	13727.563735	-2.245322
4.711914	17.743902	5.175781	13229.000000	13666.615691	-3.804778
4.736328	17.743902	5.200195	13128.000000	13606.412906	-4.175453
4.760742	6.743902	5.224609	13070.000000	13546.020858	-4.163784
4.785156	18.743902	5.249023	13088.000000	13485.905965	-3.478114
4.809570	6.743902	5.273437	13226.000000	13427.929164	-1.755839
4.833984	9.743902	5.297852	12969.000000	13367.192349	-3.496549
4.858398	11.743902	5.322266	12909.000000	13307.665376	-3.508829
4.882812	8.743902	5.346680	12943.000000	13248.411589	-2.684529
4.907227	11.743902	5.371094	12858.000000	13191.757492	-2.943366
4.931641	14.743902	5.395508	12451.000000	13133.035640	-6.112304
4.956055	7.743902	5.419922	12658.000000	13075.281606	-3.708913
4.980469	8.743902	5.444336	12416.000000	13015.464864	-5.379884
5.004883	9.743902	5.468750	12562.000000	12958.483172	-3.537491
5.029297	10.743902	5.493164	12581.000000	12900.133554	-2.845214
5.053711	9.743902	5.517578	12191.000000	12842.284495	-5.898629
5.078125	8.743902	5.541992	12390.000000	12784.002595	-3.539675
5.102539	13.743902	5.566406	12283.000000	12726.220943	-3.999153
5.126953	6.743902	5.590820	12258.000000	12668.704467	-3.709536
5.151367	6.743902	5.615234	12129.000000	12612.848605	-4.393362
5.175781	8.743902	5.639648	11945.000000	12555.852427	-5.589117
5.200195	10.743902	5.664062	11996.000000	12498.885045	-4.591457
5.224609	8.743902	5.688477	11974.000000	12441.946327	-4.276381
5.249023	8.743902	5.712891	11981.000000	12386.200020	-3.701885
5.273437	16.743902	5.737305	11959.000000	12329.545669	-3.388397
5.297852	3.743902	5.761719	11869.000000	12274.082425	-3.718231
5.322266	7.743902	5.786133	11712.000000	12219.572045	-4.690101
5.346680	7.743902	5.810547	11711.000000	12165.777380	-4.202443
5.371094	17.743902	5.834961	11537.000000	12111.764042	-5.351101
5.395508	7.743902	5.859375	11508.000000	12056.834708	-5.116131
5.419922	10.743902	5.883789	11494.000000	12002.623012	-4.744172
5.444336	0.743902	5.908203	11617.000000	11949.358437	-3.083612
5.468750	11.743902	5.932617	11468.000000	11894.708877	-3.984628
5.493164	4.743902	5.957031	11613.000000	11839.844568	-2.105020
5.517578	5.743902	5.981445	11408.000000	11786.628701	-3.544939
5.541992	2.743902	6.005859	11231.000000	11732.493179	-4.732121
5.566406	3.743902	6.030273	11390.000000	11680.002754	-2.717317
5.590820	3.743902	6.054687	11282.000000	11628.917102	-3.266124
5.615234	9.743902	6.079102	11326.000000	11576.669242	-2.355390
5.639648	3.743902	6.103516	10969.000000	11525.359490	-5.312170
5.664062	2.743902	6.127930	11078.000000	11473.354109	-3.756259
5.688477	1.743902	6.152344	10977.000000	11421.820172	-4.245635
5.712891	5.743902	6.176758	11066.000000	11370.988290	-2.899264
5.737305	0.743902	6.201172	10912.000000	11320.622466	-3.911741
