Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	6.056931
A:	0.289103
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	1347.000000	1295.787917	1.395368
1.245117	1.743902	1.708984	1305.000000	1290.514708	0.400979
1.269531	2.743902	1.733398	1324.000000	1284.969923	1.072644
1.293945	1.743902	1.757812	1244.000000	1279.154655	-0.996719
1.318359	1.743902	1.782227	1327.000000	1273.655568	1.464379
1.342773	-1.256098	1.806641	1311.000000	1269.056965	1.158400
1.367187	-0.256098	1.831055	1325.000000	1264.184073	1.670742
1.391602	0.743902	1.855469	1288.000000	1258.452420	0.823311
1.416016	-1.256098	1.879883	1288.000000	1253.914974	0.949742
1.440430	0.743902	1.904297	1314.000000	1248.517417	1.806459
1.464844	-2.256098	1.928711	1221.000000	1244.019937	-0.658789
1.489258	-1.256098	1.953125	1246.000000	1239.833336	0.174699
1.513672	1.743902	1.977539	1256.000000	1234.492425	0.606871
1.538086	2.743902	2.001953	1235.000000	1228.880210	0.174142
1.562500	0.743902	2.026367	1287.000000	1225.047299	1.726915
1.586914	-0.256098	2.050781	1238.000000	1220.058655	0.509911
1.611328	1.743902	2.075195	1197.000000	1215.090078	-0.522870
1.635742	-0.256098	2.099609	1257.000000	1210.434276	1.313405
1.660156	-1.256098	2.124023	1282.000000	1206.089991	2.120094
1.684570	-0.256098	2.148437	1207.000000	1200.299241	0.192873
1.708984	-0.256098	2.172852	1230.000000	1195.117362	0.994619
1.733398	-1.256098	2.197266	1241.000000	1189.663539	1.457270
1.757812	-2.256098	2.221680	1249.000000	1185.110020	1.807805
1.782227	-1.256098	2.246094	1227.000000	1179.696453	1.350428
1.806641	1.743902	2.270508	1213.000000	1175.768603	1.069003
1.831055	0.743902	2.294922	1280.000000	1171.270978	3.039069
1.855469	-2.256098	2.319336	1172.000000	1167.084233	0.143591
1.879883	1.743902	2.343750	1208.000000	1162.914330	1.297194
1.904297	-1.256098	2.368164	1140.000000	1158.468413	-0.546987
1.928711	1.743902	2.392578	1212.000000	1155.504320	1.622796
1.953125	2.743902	2.416992	1190.000000	1153.430515	1.060096
1.977539	-1.256098	2.441406	1243.000000	1152.828991	2.557593
2.001953	-2.256098	2.465820	1200.000000	1154.279404	1.319840
2.026367	3.743902	2.490234	1216.000000	1160.408589	1.594193
2.050781	-0.256098	2.514648	1220.000000	1167.098694	1.514560
2.075195	-0.256098	2.539062	1233.000000	1180.496011	1.495239
2.099609	0.743902	2.563477	1221.000000	1202.037498	0.542672
2.124023	1.743902	2.587891	1229.000000	1222.906756	0.173809
2.148437	-3.256098	2.612305	1254.000000	1250.426187	0.100921
