Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.418102
A:	0.186998
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	61.000000	61.765528	-0.098016
1.416016	-1.654321	1.684570	71.000000	61.767267	1.095724
1.440430	0.345679	1.708984	70.000000	61.894704	0.968768
1.464844	6.345679	1.733398	61.000000	61.486675	-0.062312
1.489258	1.345679	1.757812	77.000000	61.678484	1.746049
1.513672	1.345679	1.782227	72.000000	62.058247	1.171647
1.538086	0.345679	1.806641	64.000000	61.681039	0.289870
1.562500	3.345679	1.831055	75.000000	62.406866	1.454130
1.586914	0.345679	1.855469	63.000000	62.405722	0.074872
1.611328	1.345679	1.879883	62.000000	61.586209	0.052552
1.635742	-0.654321	1.904297	74.000000	61.116456	1.497682
1.660156	-1.654321	1.928711	56.000000	61.121114	-0.684338
1.684570	1.345679	1.953125	57.000000	60.685008	-0.488091
1.708984	2.345679	1.977539	67.000000	60.282418	0.820683
1.733398	-0.654321	2.001953	73.000000	59.976305	1.524308
1.757812	2.345679	2.026367	50.000000	59.356529	-1.323213
1.782227	3.345679	2.050781	51.000000	59.746731	-1.224787
1.806641	-0.654321	2.075195	76.000000	59.883252	1.848718
1.831055	5.345679	2.099609	71.000000	60.271086	1.273288
1.855469	1.345679	2.124023	57.000000	59.901912	-0.384368
1.879883	-2.654321	2.148437	70.000000	59.282472	1.280990
1.904297	-0.654321	2.172852	65.000000	58.540111	0.801251
1.928711	1.345679	2.197266	63.000000	58.147165	0.611400
1.953125	-0.654321	2.221680	61.000000	59.329623	0.213870
1.977539	-0.654321	2.246094	59.000000	59.090387	-0.011767
2.001953	-0.654321	2.270508	63.000000	59.072598	0.494806
2.026367	-1.654321	2.294922	48.000000	58.771924	-1.554793
2.050781	3.345679	2.319336	70.000000	58.504157	1.374016
2.075195	2.345679	2.343750	54.000000	58.615227	-0.628053
2.099609	3.345679	2.368164	64.000000	58.221942	0.722257
2.124023	-0.654321	2.392578	84.000000	58.019242	2.834733
2.148437	-1.654321	2.416992	68.000000	57.754859	1.242406
2.172852	-2.654321	2.441406	56.000000	57.208182	-0.161450
2.197266	-0.654321	2.465820	68.000000	57.419227	1.283107
2.221680	7.345679	2.490234	65.000000	57.849695	0.886886
2.246094	0.345679	2.514648	57.000000	59.190751	-0.290172
2.270508	1.345679	2.539062	67.000000	59.990885	0.856300
2.294922	-0.654321	2.563477	63.000000	61.763058	0.155840
2.319336	-0.654321	2.587891	60.000000	63.589856	-0.463448
2.343750	1.345679	2.612305	62.000000	65.125477	-0.396936
2.368164	-0.654321	2.636719	80.000000	67.346346	1.414722
2.392578	0.345679	2.661133	74.000000	71.854576	0.249400
2.416992	-0.654321	2.685547	63.000000	75.052382	-1.518457
2.441406	-1.654321	2.709961	71.000000	85.222000	-1.687841
2.465820	2.345679	2.734375	85.000000	104.094021	-2.071037
2.490234	3.345679	2.758789	128.000000	139.214030	-0.991190
2.514648	8.345679	2.783203	176.000000	180.564329	-0.344049
2.539062	5.345679	2.807617	250.000000	239.886604	0.639627
2.563477	10.345679	2.832031	307.000000	316.313235	-0.531534
2.587891	11.345679	2.856445	359.000000	401.207498	-2.227627
2.612305	9.345679	2.880859	521.000000	495.664735	1.109958
2.636719	13.345679	2.905273	696.000000	592.434876	3.925626
2.661133	25.345679	2.929687	756.000000	687.668610	2.485189
2.685547	18.345679	2.954102	827.000000	771.113674	1.943358
2.709961	55.345679	2.978516	960.000000	850.532967	3.533033
2.734375	102.345679	3.002930	1078.000000	921.759599	4.758652
2.758789	188.345679	3.027344	1160.000000	993.546972	4.887229
2.783203	222.345679	3.051758	1219.000000	1048.081279	4.895395
2.807617	318.345679	3.076172	1293.000000	1097.461192	5.437931
2.832031	410.345679	3.100586	1345.000000	1136.045409	5.697585
2.856445	457.345679	3.125000	1412.000000	1165.361437	6.563623
2.880859	509.345679	3.149414	1352.000000	1190.328602	4.396882
2.905273	524.345679	3.173828	1386.000000	1206.907175	4.810570
2.929687	518.345679	3.198242	1356.000000	1217.903995	3.750173
2.954102	458.345679	3.222656	1379.000000	1229.323673	4.030612
2.978516	439.345679	3.247070	1396.000000	1234.618346	4.319281
3.002930	397.345679	3.271484	1280.000000	1238.945134	1.147518
3.027344	402.345679	3.295898	1345.000000	1241.143940	2.831853
3.051758	312.345679	3.320312	1274.000000	1244.214346	0.834492
3.076172	286.345679	3.344727	1325.000000	1245.634198	2.180346
3.100586	230.345679	3.369141	1364.000000	1245.317286	3.213515
3.125000	182.345679	3.393555	1261.000000	1245.442024	0.438123
3.149414	160.345679	3.417969	1280.000000	1245.975388	0.951017
3.173828	116.345679	3.442383	1358.000000	1243.233373	3.114338
3.198242	87.345679	3.466797	1279.000000	1242.580661	1.018349
3.222656	89.345679	3.491211	1250.000000	1243.095334	0.195293
3.247070	57.345679	3.515625	1303.000000	1241.908350	1.692426
3.271484	52.345679	3.540039	1330.000000	1239.877290	2.471203
3.295898	41.345679	3.564453	1251.000000	1238.767885	0.345838
3.320312	45.345679	3.588867	1261.000000	1236.247608	0.697043
3.344727	37.345679	3.613281	1319.000000	1234.115775	2.337247
3.369141	27.345679	3.637695	1253.000000	1232.748791	0.572105
3.393555	30.345679	3.662109	1187.000000	1229.751721	-1.240876
3.417969	32.345679	3.686523	1193.000000	1226.327382	-0.964897
3.442383	15.345679	3.710937	1182.000000	1223.988740	-1.221305
3.466797	26.345679	3.735352	1263.000000	1220.810682	1.187137
3.491211	32.345679	3.759766	1233.000000	1217.426541	0.443510
3.515625	23.345679	3.784180	1266.000000	1215.316733	1.424452
3.540039	18.345679	3.808594	1191.000000	1211.517066	-0.594510
3.564453	23.345679	3.833008	1237.000000	1209.937162	0.769464
3.588867	15.345679	3.857422	1158.000000	1206.318942	-1.419918
3.613281	18.345679	3.881836	1262.000000	1203.661069	1.642210
3.637695	22.345679	3.906250	1232.000000	1199.630322	0.922217
3.662109	13.345679	3.930664	1212.000000	1196.058440	0.457909
3.686523	11.345679	3.955078	1168.000000	1193.415141	-0.743654
3.710937	16.345679	3.979492	1220.000000	1189.147494	0.883305
3.735352	12.345679	4.003906	1156.000000	1185.968818	-0.881436
3.759766	11.345679	4.028320	1156.000000	1183.465548	-0.807810
3.784180	17.345679	4.052734	1205.000000	1182.074871	0.660417
3.808594	8.345679	4.077148	1167.000000	1179.368736	-0.362068
3.833008	20.345679	4.101562	1123.000000	1176.359729	-1.592296
3.857422	9.345679	4.125977	1128.000000	1174.214180	-1.376007
3.881836	14.345679	4.150391	1164.000000	1171.134198	-0.209107
3.906250	7.345679	4.174805	1155.000000	1168.036508	-0.383593
3.930664	9.345679	4.199219	1165.000000	1164.669261	0.009690
3.955078	14.345679	4.223633	1189.000000	1161.286116	0.803723
3.979492	5.345679	4.248047	1096.000000	1157.225511	-1.849384
4.003906	11.345679	4.272461	1167.000000	1153.592349	0.392480
4.028320	14.345679	4.296875	1178.000000	1149.661001	0.825680
4.052734	20.345679	4.321289	1164.000000	1146.313775	0.518392
4.077148	13.345679	4.345703	1103.000000	1142.950042	-1.202900
4.101562	12.345679	4.370117	1085.000000	1139.475728	-1.653820
4.125977	16.345679	4.394531	1116.000000	1135.576291	-0.586001
4.150391	11.345679	4.418945	1164.000000	1131.505569	0.952429
4.174805	11.345679	4.443359	1111.000000	1127.421593	-0.492672
4.199219	10.345679	4.467773	1110.000000	1123.607906	-0.408441
4.223633	9.345679	4.492187	1091.000000	1119.654104	-0.867510
