Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	5.898245
A:	0.276960
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	1224.000000	1140.521965	2.386061
1.245117	1.743902	1.708984	1110.000000	1135.753740	-0.772999
1.269531	2.743902	1.733398	1184.000000	1130.724912	1.548276
1.293945	1.743902	1.757812	1137.000000	1125.436559	0.342931
1.318359	1.743902	1.782227	1223.000000	1120.450348	2.932385
1.342773	-1.256098	1.806641	1160.000000	1116.325629	1.282324
1.367187	-0.256098	1.831055	1111.000000	1111.937650	-0.028131
1.391602	0.743902	1.855469	1206.000000	1106.726899	2.858630
1.416016	-1.256098	1.879883	1148.000000	1102.658868	1.338201
1.440430	0.743902	1.904297	1131.000000	1097.766744	0.988193
1.464844	-2.256098	1.928711	1147.000000	1093.735723	1.572731
1.489258	-1.256098	1.953125	1142.000000	1090.001652	1.538709
1.513672	1.743902	1.977539	1105.000000	1085.161811	0.596789
1.538086	2.743902	2.001953	1143.000000	1080.061662	1.861625
1.562500	0.743902	2.026367	1123.000000	1076.664373	1.382691
1.586914	-0.256098	2.050781	1136.000000	1072.159921	1.894106
1.611328	1.743902	2.075195	1181.000000	1067.674076	3.297648
1.635742	-0.256098	2.099609	1133.000000	1063.487060	2.065146
1.660156	-1.256098	2.124023	1047.000000	1059.597637	-0.389328
1.684570	-0.256098	2.148437	1090.000000	1054.322786	1.080632
1.708984	-0.256098	2.172852	1073.000000	1049.630322	0.713432
1.733398	-1.256098	2.197266	1089.000000	1044.676941	1.343123
1.757812	-2.256098	2.221680	1098.000000	1040.584918	1.732706
1.782227	-1.256098	2.246094	1111.000000	1035.668901	2.260046
1.806641	1.743902	2.270508	1085.000000	1032.174684	1.603715
1.831055	0.743902	2.294922	1072.000000	1028.134303	1.339762
1.855469	-2.256098	2.319336	1049.000000	1024.390910	0.759815
1.879883	1.743902	2.343750	1066.000000	1020.662980	1.388591
1.904297	-1.256098	2.368164	1103.000000	1016.670150	2.599401
1.928711	1.743902	2.392578	1010.000000	1014.095306	-0.128862
1.953125	2.743902	2.416992	1062.000000	1012.371994	1.522876
1.977539	-1.256098	2.441406	1010.000000	1012.057294	-0.064734
2.001953	-2.256098	2.465820	1109.000000	1013.705985	2.861540
2.026367	3.743902	2.490234	1020.000000	1019.832644	0.005240
2.050781	-0.256098	2.514648	1057.000000	1026.494594	0.938295
2.075195	-0.256098	2.539062	1094.000000	1039.575896	1.645442
2.099609	0.743902	2.563477	1125.000000	1060.451526	1.924464
2.124023	1.743902	2.587891	1138.000000	1080.680329	1.699153
2.148437	-3.256098	2.612305	1146.000000	1107.272444	1.144005
2.172852	-1.256098	2.636719	1160.000000	1139.080391	0.614221
2.197266	-2.256098	2.661133	1209.000000	1201.589807	0.213116
2.221680	0.743902	2.685547	1314.000000	1314.294782	-0.008132
2.246094	-2.256098	2.709961	1474.000000	1527.722039	-1.399277
2.270508	2.743902	2.734375	1721.000000	1879.856449	-3.829256
2.294922	0.743902	2.758789	2115.000000	2471.593188	-7.753858
2.319336	1.743902	2.783203	2886.000000	3358.002279	-8.786096
2.343750	1.743902	2.807617	4052.000000	4549.919377	-7.822117
2.368164	0.743902	2.832031	5400.000000	6026.181326	-8.521249
2.392578	5.743902	2.856445	7142.000000	7727.591769	-6.929231
2.416992	8.743902	2.880859	9172.000000	9510.268362	-3.532070
2.441406	13.743902	2.905273	11197.000000	11297.634180	-0.951031
2.465820	20.743902	2.929687	13195.000000	13081.260893	0.990159
2.490234	36.743902	2.954102	15108.000000	14687.098459	3.424341
2.514648	38.743902	2.978516	16405.000000	16111.676783	2.290120
2.539062	61.743902	3.002930	17732.000000	17388.539531	2.579276
