Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	6.252403
A:	0.247612
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	1232.000000	1225.919253	0.173241
1.245117	1.743902	1.708984	1230.000000	1221.091237	0.254018
1.269531	2.743902	1.733398	1198.000000	1216.031064	-0.520946
1.293945	1.743902	1.757812	1204.000000	1210.739637	-0.194233
1.318359	1.743902	1.782227	1257.000000	1205.719805	1.446379
1.342773	-1.256098	1.806641	1193.000000	1201.472457	-0.245295
1.367187	-0.256098	1.831055	1213.000000	1196.990688	0.459666
1.391602	0.743902	1.855469	1249.000000	1191.773464	1.619259
1.416016	-1.256098	1.879883	1232.000000	1187.580466	1.265519
1.440430	0.743902	1.904297	1159.000000	1182.650889	-0.694714
1.464844	-2.256098	1.928711	1204.000000	1178.493443	0.735087
1.489258	-1.256098	1.953125	1160.000000	1174.603174	-0.428764
1.513672	1.743902	1.977539	1207.000000	1169.724171	1.072936
1.538086	2.743902	2.001953	1140.000000	1164.613208	-0.728980
1.562500	0.743902	2.026367	1153.000000	1161.028005	-0.236425
1.586914	-0.256098	2.050781	1196.000000	1156.452880	1.143535
1.611328	1.743902	2.075195	1208.000000	1151.895584	1.614223
1.635742	-0.256098	2.099609	1169.000000	1147.607023	0.625697
1.660156	-1.256098	2.124023	1169.000000	1143.586148	0.743298
1.684570	-0.256098	2.148437	1144.000000	1138.326075	0.167753
1.708984	-0.256098	2.172852	1169.000000	1133.588448	1.035709
1.733398	-1.256098	2.197266	1173.000000	1128.618312	1.295850
1.757812	-2.256098	2.221680	1167.000000	1124.420465	1.246423
1.782227	-1.256098	2.246094	1154.000000	1119.486057	1.015995
1.806641	1.743902	2.270508	1165.000000	1115.825747	1.440704
1.831055	0.743902	2.294922	1125.000000	1111.677754	0.397193
1.855469	-2.256098	2.319336	1141.000000	1107.796901	0.982960
1.879883	1.743902	2.343750	1158.000000	1103.931171	1.588886
1.904297	-1.256098	2.368164	1150.000000	1099.829534	1.479446
1.928711	1.743902	2.392578	1106.000000	1096.998749	0.270661
1.953125	2.743902	2.416992	1138.000000	1094.931916	1.276687
1.977539	-1.256098	2.441406	1148.000000	1094.128007	1.589982
2.001953	-2.256098	2.465820	1159.000000	1095.084046	1.877446
2.026367	3.743902	2.490234	1091.000000	1100.051936	-0.274050
2.050781	-0.256098	2.514648	1124.000000	1105.502413	0.551737
2.075195	-0.256098	2.539062	1155.000000	1116.704042	1.126839
2.099609	0.743902	2.563477	1182.000000	1134.889278	1.370285
2.124023	1.743902	2.587891	1177.000000	1152.501696	0.714082
2.148437	-3.256098	2.612305	1235.000000	1175.817869	1.684058
2.172852	-1.256098	2.636719	1223.000000	1203.811675	0.548686
2.197266	-2.256098	2.661133	1216.000000	1259.303481	-1.241812
2.221680	0.743902	2.685547	1362.000000	1359.754277	0.060851
2.246094	-2.256098	2.709961	1469.000000	1550.415075	-2.124193
