Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	6.106846
A:	0.022771
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	101.000000	108.006118	-0.697135
1.245117	1.743902	1.708984	107.000000	107.583444	-0.056404
1.269531	2.743902	1.733398	120.000000	107.139390	1.174008
1.293945	1.743902	1.757812	100.000000	106.674040	-0.667404
1.318359	1.743902	1.782227	110.000000	106.233615	0.359111
1.342773	-1.256098	1.806641	100.000000	105.864145	-0.586415
1.367187	-0.256098	1.831055	84.000000	105.473084	-2.342906
1.391602	0.743902	1.855469	95.000000	105.014383	-1.027454
1.416016	-1.256098	1.879883	126.000000	104.649779	1.902029
1.440430	0.743902	1.904297	105.000000	104.217429	0.076371
1.464844	-2.256098	1.928711	98.000000	103.856004	-0.591546
1.489258	-1.256098	1.953125	128.000000	103.519088	2.163827
1.513672	1.743902	1.977539	100.000000	103.091250	-0.309125
1.538086	2.743902	2.001953	90.000000	102.642052	-1.332589
1.562500	0.743902	2.026367	104.000000	102.333046	0.163458
1.586914	-0.256098	2.050781	101.000000	101.933006	-0.092838
1.611328	1.743902	2.075195	85.000000	101.534563	-1.793425
1.635742	-0.256098	2.099609	110.000000	101.160776	0.842787
1.660156	-1.256098	2.124023	94.000000	100.811547	-0.702557
1.684570	-0.256098	2.148437	104.000000	100.348378	0.358071
1.708984	-0.256098	2.172852	98.000000	99.933190	-0.195282
1.733398	-1.256098	2.197266	95.000000	99.496593	-0.461341
1.757812	-2.256098	2.221680	89.000000	99.130937	-1.073877
1.782227	-1.256098	2.246094	97.000000	98.697540	-0.172359
1.806641	1.743902	2.270508	106.000000	98.381205	0.740003
1.831055	0.743902	2.294922	107.000000	98.020000	0.868129
1.855469	-2.256098	2.319336	99.000000	97.683302	0.132333
