Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.378830
A:	1.057746
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	390.000000	326.611114	3.209821
1.416016	-1.654321	1.684570	362.000000	326.644369	1.858251
1.440430	0.345679	1.708984	362.000000	327.393349	1.818885
1.464844	6.345679	1.733398	360.000000	325.111380	1.838792
1.489258	1.345679	1.757812	315.000000	326.219275	-0.632135
1.513672	1.345679	1.782227	388.000000	328.390001	3.026239
1.538086	0.345679	1.806641	342.000000	326.279505	0.850067
1.562500	3.345679	1.831055	355.000000	330.409668	1.305119
1.586914	0.345679	1.855469	371.000000	330.425721	2.106512
1.611328	1.345679	1.879883	313.000000	325.818337	-0.724535
1.635742	-0.654321	1.904297	389.000000	323.191527	3.336622
1.660156	-1.654321	1.928711	379.000000	323.240269	2.864185
1.684570	1.345679	1.953125	363.000000	320.801121	2.214867
1.708984	2.345679	1.977539	337.000000	318.549005	1.005090
1.733398	-0.654321	2.001953	363.000000	316.835048	2.423032
1.757812	2.345679	2.026367	351.000000	313.357059	2.009232
1.782227	3.345679	2.050781	352.000000	315.586033	1.940871
1.806641	-0.654321	2.075195	346.000000	316.385092	1.592107
1.831055	5.345679	2.099609	353.000000	318.600354	1.830908
1.855469	1.345679	2.124023	331.000000	316.534191	0.795113
1.879883	-2.654321	2.148437	356.000000	313.057564	2.275945
1.904297	-0.654321	2.172852	358.000000	308.880807	2.596030
1.928711	1.345679	2.197266	365.000000	306.682674	3.052468
1.953125	-0.654321	2.221680	374.000000	313.389253	3.134107
1.977539	-0.654321	2.246094	297.000000	312.062564	-0.874019
2.001953	-0.654321	2.270508	335.000000	311.985718	1.257405
2.026367	-1.654321	2.294922	339.000000	310.301484	1.558689
2.050781	3.345679	2.319336	354.000000	308.800863	2.402307
2.075195	2.345679	2.343750	335.000000	309.442735	1.396343
2.099609	3.345679	2.368164	351.000000	307.242057	2.335626
2.124023	-0.654321	2.392578	324.000000	306.119193	0.993378
2.148437	-1.654321	2.416992	329.000000	304.637513	1.343147
2.172852	-2.654321	2.441406	329.000000	301.566735	1.512445
2.197266	-0.654321	2.465820	327.000000	302.781255	1.339300
2.221680	7.345679	2.490234	355.000000	305.234110	2.641299
2.246094	0.345679	2.514648	314.000000	312.839110	0.065513
2.270508	1.345679	2.539062	351.000000	317.382112	1.794390
2.294922	-0.654321	2.563477	330.000000	327.419767	0.142037
2.319336	-0.654321	2.587891	364.000000	337.775867	1.374518
2.343750	1.345679	2.612305	352.000000	346.477332	0.294359
2.368164	-0.654321	2.636719	377.000000	359.058810	0.924018
2.392578	0.345679	2.661133	392.000000	384.573473	0.375096
2.416992	-0.654321	2.685547	421.000000	402.673640	0.893172
2.441406	-1.654321	2.709961	439.000000	460.202213	-1.011926
2.465820	2.345679	2.734375	533.000000	566.955168	-1.470762
2.490234	3.345679	2.758789	674.000000	765.587563	-3.527821
2.514648	8.345679	2.783203	932.000000	999.451270	-2.209440
2.539062	5.345679	2.807617	1278.000000	1334.945284	-1.592914
2.563477	10.345679	2.832031	1707.000000	1767.161983	-1.456148
2.587891	11.345679	2.856445	2293.000000	2247.258212	0.955237
2.612305	9.345679	2.880859	2761.000000	2781.412303	-0.388471
2.636719	13.345679	2.905273	3517.000000	3328.637167	3.176209
2.661133	25.345679	2.929687	3982.000000	3867.152750	1.819994
2.685547	18.345679	2.954102	4635.000000	4338.982730	4.348026
2.709961	55.345679	2.978516	5335.000000	4788.034882	7.488458
2.734375	102.345679	3.002930	5774.000000	5190.731787	7.675911
