Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.621181
A:	0.632803
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	260.000000	226.355214	2.086561
1.416016	-1.654321	1.684570	232.000000	226.288336	0.374989
1.440430	0.345679	1.708984	235.000000	226.632139	0.545859
1.464844	6.345679	1.733398	236.000000	225.170464	0.704943
1.489258	1.345679	1.757812	235.000000	225.748237	0.603518
1.513672	1.345679	1.782227	256.000000	226.963023	1.814811
1.538086	0.345679	1.806641	249.000000	225.614478	1.481997
1.562500	3.345679	1.831055	231.000000	227.994314	0.197760
1.586914	0.345679	1.855469	250.000000	227.920333	1.396441
1.611328	1.345679	1.879883	216.000000	225.059479	-0.616419
1.635742	-0.654321	1.904297	256.000000	223.375494	2.039032
1.660156	-1.654321	1.928711	224.000000	223.321529	0.045332
1.684570	1.345679	1.953125	251.000000	221.759639	1.845635
1.708984	2.345679	1.977539	237.000000	220.319081	1.083542
1.733398	-0.654321	2.001953	241.000000	219.228455	1.402428
1.757812	2.345679	2.026367	212.000000	217.044787	-0.346477
1.782227	3.345679	2.050781	244.000000	218.297292	1.645447
1.806641	-0.654321	2.075195	227.000000	218.675726	0.552501
1.831055	5.345679	2.099609	233.000000	219.921163	0.856823
1.855469	1.345679	2.124023	231.000000	218.603136	0.815654
1.879883	-2.654321	2.148437	242.000000	216.422178	1.644205
1.904297	-0.654321	2.172852	233.000000	213.840281	1.255195
1.928711	1.345679	2.197266	212.000000	212.434044	-0.029810
1.953125	-0.654321	2.221680	195.000000	216.379161	-1.530994
1.977539	-0.654321	2.246094	219.000000	215.486874	0.237395
2.001953	-0.654321	2.270508	213.000000	215.352535	-0.161193
2.026367	-1.654321	2.294922	216.000000	214.283433	0.116798
2.050781	3.345679	2.319336	230.000000	213.333528	1.098955
2.075195	2.345679	2.343750	207.000000	213.666772	-0.463373
2.099609	3.345679	2.368164	231.000000	212.261287	1.232917
2.124023	-0.654321	2.392578	225.000000	211.501410	0.899906
2.148437	-1.654321	2.416992	201.000000	210.563561	-0.674562
2.172852	-2.654321	2.441406	222.000000	208.646571	0.896223
2.197266	-0.654321	2.465820	214.000000	209.295956	0.321562
2.221680	7.345679	2.490234	215.000000	210.696606	0.293489
2.246094	0.345679	2.514648	229.000000	215.174206	0.913634
2.270508	1.345679	2.539062	234.000000	217.828415	1.057170
2.294922	-0.654321	2.563477	204.000000	223.783267	-1.385106
2.319336	-0.654321	2.587891	230.000000	229.893576	0.007017
2.343750	1.345679	2.612305	256.000000	235.042061	1.309871
2.368164	-0.654321	2.636719	226.000000	242.497173	-1.097376
2.392578	0.345679	2.661133	230.000000	257.708740	-1.827060
2.416992	-0.654321	2.685547	300.000000	268.492330	1.819096
2.441406	-1.654321	2.709961	308.000000	302.891304	0.291095
2.465820	2.345679	2.734375	342.000000	366.740233	-1.337799
2.490234	3.345679	2.758789	403.000000	485.654580	-4.117318
2.514648	8.345679	2.783203	607.000000	625.682581	-0.758303
2.539062	5.345679	2.807617	828.000000	826.611895	0.048240
2.563477	10.345679	2.832031	1157.000000	1085.505959	2.101857
2.587891	11.345679	2.856445	1501.000000	1373.106186	3.301104
2.612305	9.345679	2.880859	1795.000000	1693.173130	2.403423
2.636719	13.345679	2.905273	2285.000000	2021.102026	5.520685
2.661133	25.345679	2.929687	2571.000000	2343.887205	4.479098
2.685547	18.345679	2.954102	3079.000000	2626.787928	8.149619
2.709961	55.345679	2.978516	3292.000000	2896.082670	6.900405
2.734375	102.345679	3.002930	3481.000000	3137.694327	5.818740
2.758789	188.345679	3.027344	3932.000000	3381.227343	8.783460
2.783203	222.345679	3.051758	3911.000000	3566.377555	5.510610
2.807617	318.345679	3.076172	3999.000000	3734.097926	4.188993
2.832031	410.345679	3.100586	4220.000000	3865.278493	5.460486
2.856445	457.345679	3.125000	4320.000000	3965.079183	5.399948
2.880859	509.345679	3.149414	4389.000000	4050.148862	5.114771
2.905273	524.345679	3.173828	4411.000000	4106.825692	4.579879
2.929687	518.345679	3.198242	4451.000000	4144.596348	4.592669
2.954102	458.345679	3.222656	4473.000000	4183.826036	4.323742
