Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.537460
A:	0.587976
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	212.000000	200.818883	0.767922
1.416016	-1.654321	1.684570	221.000000	200.784667	1.359830
1.440430	0.345679	1.708984	209.000000	201.137674	0.543848
1.464844	6.345679	1.733398	235.000000	199.810593	2.295504
1.489258	1.345679	1.757812	202.000000	200.374812	0.114348
1.513672	1.345679	1.782227	207.000000	201.530549	0.380153
1.538086	0.345679	1.806641	221.000000	200.305203	1.392083
1.562500	3.345679	1.831055	197.000000	202.545782	-0.395121
1.586914	0.345679	1.855469	226.000000	202.503969	1.562933
1.611328	1.345679	1.879883	202.000000	199.879414	0.149204
1.635742	-0.654321	1.904297	217.000000	198.350941	1.265981
1.660156	-1.654321	1.928711	220.000000	198.327582	1.461154
1.684570	1.345679	1.953125	209.000000	196.909399	0.836324
1.708984	2.345679	1.977539	209.000000	195.600919	0.926834
1.733398	-0.654321	2.001953	210.000000	194.608586	1.062108
1.757812	2.345679	2.026367	213.000000	192.612764	1.396910
1.782227	3.345679	2.050781	220.000000	193.802647	1.766225
1.806641	-0.654321	2.075195	214.000000	194.186369	1.354432
1.831055	5.345679	2.099609	196.000000	195.369331	0.045048
1.855469	1.345679	2.124023	217.000000	194.171089	1.549727
1.879883	-2.654321	2.148437	202.000000	192.177192	0.691130
1.904297	-0.654321	2.172852	210.000000	189.804994	1.393588
1.928711	1.345679	2.197266	199.000000	188.527767	0.742357
1.953125	-0.654321	2.221680	201.000000	192.215084	0.619640
1.977539	-0.654321	2.246094	192.000000	191.417790	0.042017
2.001953	-0.654321	2.270508	211.000000	191.321468	1.354726
2.026367	-1.654321	2.294922	226.000000	190.347961	2.371538
2.050781	3.345679	2.319336	217.000000	189.482201	1.868030
2.075195	2.345679	2.343750	205.000000	189.808248	1.061038
2.099609	3.345679	2.368164	236.000000	188.531007	3.089968
2.124023	-0.654321	2.392578	222.000000	187.853384	2.291771
2.148437	-1.654321	2.416992	182.000000	186.998598	-0.370521
2.172852	-2.654321	2.441406	207.000000	185.243181	1.512203
2.197266	-0.654321	2.465820	188.000000	185.871486	0.155238
2.221680	7.345679	2.490234	191.000000	187.194489	0.275357
2.246094	0.345679	2.514648	183.000000	191.378207	-0.619335
2.270508	1.345679	2.539062	214.000000	193.864984	1.376401
2.294922	-0.654321	2.563477	207.000000	199.414284	0.527244
2.319336	-0.654321	2.587891	221.000000	205.119316	1.068250
2.343750	1.345679	2.612305	229.000000	209.921643	1.260733
2.368164	-0.654321	2.636719	205.000000	216.871914	-0.829170
2.392578	0.345679	2.661133	235.000000	231.023069	0.259426
2.416992	-0.654321	2.685547	251.000000	241.057437	0.627569
2.441406	-1.654321	2.709961	271.000000	273.025648	-0.123049
2.465820	2.345679	2.734375	332.000000	332.357353	-0.019612
2.490234	3.345679	2.758789	379.000000	442.822406	-3.278337
2.514648	8.345679	2.783203	555.000000	572.894026	-0.759559
2.539062	5.345679	2.807617	734.000000	759.520865	-0.941992
2.563477	10.345679	2.832031	1060.000000	999.974665	1.843664
2.587891	11.345679	2.856445	1300.000000	1267.081718	0.912989
2.612305	9.345679	2.880859	1759.000000	1564.315553	4.641927
2.636719	13.345679	2.905273	2036.000000	1868.841404	3.704587
2.661133	25.345679	2.929687	2412.000000	2168.567056	4.956678
2.685547	18.345679	2.954102	2644.000000	2431.230716	4.137883
2.709961	55.345679	2.978516	3038.000000	2681.245950	6.472544
2.734375	102.345679	3.002930	3232.000000	2905.523726	5.742698
2.758789	188.345679	3.027344	3475.000000	3131.577933	5.825736
2.783203	222.345679	3.051758	3505.000000	3303.384646	3.405490
2.807617	318.345679	3.076172	3805.000000	3458.991559	5.609309
2.832031	410.345679	3.100586	3836.000000	3580.649949	4.122842
2.856445	457.345679	3.125000	3918.000000	3673.157695	3.911598
2.880859	509.345679	3.149414	4104.000000	3751.983562	5.494893
2.905273	524.345679	3.173828	4116.000000	3804.430140	4.856437
2.929687	518.345679	3.198242	4043.000000	3839.316542	3.203346
2.954102	458.345679	3.222656	4192.000000	3875.547863	4.887620
2.978516	439.345679	3.247070	4170.000000	3892.508343	4.297164
3.002930	397.345679	3.271484	4218.000000	3906.424213	4.797450
3.027344	402.345679	3.295898	4127.000000	3913.641405	3.321184
3.051758	312.345679	3.320312	4271.000000	3923.616701	5.315500
