Name des Datensatzes:	<3>
Wiederholrate [ns]:	19.580
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.549

Komponente 1
tau [ns]:	6.095679
A:	0.257709
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.220703	-0.256098	1.684570	1182.000000	1178.912942	0.089792
1.245117	1.743902	1.708984	1190.000000	1174.148006	0.459526
1.269531	2.743902	1.733398	1253.000000	1169.141080	2.369047
1.293945	1.743902	1.757812	1190.000000	1163.893132	0.756800
1.318359	1.743902	1.782227	1128.000000	1158.927196	-0.920844
1.342773	-1.256098	1.806641	1193.000000	1154.764217	1.107005
1.367187	-0.256098	1.831055	1182.000000	1150.356843	0.920388
1.391602	0.743902	1.855469	1188.000000	1145.183977	1.242219
1.416016	-1.256098	1.879883	1173.000000	1141.075932	0.932114
1.440430	0.743902	1.904297	1140.000000	1136.201200	0.112511
1.464844	-2.256098	1.928711	1070.000000	1132.129060	-1.899341
1.489258	-1.256098	1.953125	1120.000000	1128.334233	-0.249033
1.513672	1.743902	1.977539	1080.000000	1123.510431	-1.323980
1.538086	2.743902	2.001953	1135.000000	1118.444874	0.491399
1.562500	0.743902	2.026367	1077.000000	1114.965780	-1.156870
1.586914	-0.256098	2.050781	1184.000000	1110.456449	2.137316
1.611328	1.743902	2.075195	1143.000000	1105.965143	1.095437
1.635742	-0.256098	2.099609	1073.000000	1101.752825	-0.877770
1.660156	-1.256098	2.124023	1182.000000	1097.818380	2.448548
1.684570	-0.256098	2.148437	1126.000000	1092.594482	0.995518
1.708984	-0.256098	2.172852	1151.000000	1087.913536	1.859510
1.733398	-1.256098	2.197266	1097.000000	1082.990265	0.422987
1.757812	-2.256098	2.221680	1101.000000	1078.869780	0.666948
1.782227	-1.256098	2.246094	1070.000000	1073.982658	-0.121753
1.806641	1.743902	2.270508	1067.000000	1070.420250	-0.104707
1.831055	0.743902	2.294922	1158.000000	1066.350009	2.693259
1.855469	-2.256098	2.319336	1152.000000	1062.557074	2.635237
1.879883	1.743902	2.343750	1061.000000	1058.779300	0.068176
1.904297	-1.256098	2.368164	1095.000000	1054.755590	1.216182
1.928711	1.743902	2.392578	1094.000000	1052.053142	1.268209
1.953125	2.743902	2.416992	1107.000000	1050.144605	1.708826
1.977539	-1.256098	2.441406	1029.000000	1049.548875	-0.640590
2.001953	-2.256098	2.465820	1129.000000	1050.782779	2.327852
2.026367	3.743902	2.490234	1085.000000	1056.188324	0.874689
2.050781	-0.256098	2.514648	1095.000000	1062.094335	0.994406
2.075195	-0.256098	2.539062	1079.000000	1073.980565	0.152807
2.099609	0.743902	2.563477	1164.000000	1093.128289	2.077287
2.124023	1.743902	2.587891	1120.000000	1111.677405	0.248685
2.148437	-3.256098	2.612305	1203.000000	1136.156204	1.927207
2.172852	-1.256098	2.636719	1203.000000	1165.496840	1.081272
2.197266	-2.256098	2.661133	1215.000000	1223.434147	-0.241965
2.221680	0.743902	2.685547	1303.000000	1328.126334	-0.696076
2.246094	-2.256098	2.709961	1445.000000	1526.634015	-2.147520
2.270508	2.743902	2.734375	1641.000000	1854.344115	-5.266552
2.294922	0.743902	2.758789	2025.000000	2405.235193	-8.449671
2.319336	1.743902	2.783203	2722.000000	3230.622347	-9.748805
2.343750	1.743902	2.807617	3628.000000	4340.632923	-11.831294
2.368164	0.743902	2.832031	5119.000000	5715.595694	-8.338493
2.392578	5.743902	2.856445	6610.000000	7300.417179	-8.492017
2.416992	8.743902	2.880859	8496.000000	8961.130233	-5.046233
2.441406	13.743902	2.905273	10334.000000	10626.429740	-2.876652
2.465820	20.743902	2.929687	12068.000000	12288.466291	-2.006895
2.490234	36.743902	2.954102	13756.000000	13785.149631	-0.248535
2.514648	38.743902	2.978516	15116.000000	15113.225160	0.022569
2.539062	61.743902	3.002930	16746.000000	16303.908027	3.416309
2.563477	89.743902	3.027344	17369.000000	17307.367478	0.467652
2.587891	87.743902	3.051758	18289.000000	18195.614673	0.690532
2.612305	110.743902	3.076172	19137.000000	18926.039205	1.524982
2.636719	129.743902	3.100586	19962.000000	19501.099165	3.262162
2.661133	239.743902	3.125000	20336.000000	19965.008562	2.601544
2.685547	419.743902	3.149414	20728.000000	20301.766416	2.960527
2.709961	780.743902	3.173828	21027.000000	20557.562253	3.237348
2.734375	1278.743902	3.198242	21350.000000	20749.164952	4.112030
2.758789	2138.743902	3.222656	21152.000000	20878.658350	1.879447
2.783203	3198.743902	3.247070	21577.000000	20951.772463	4.256401
2.807617	4301.743902	3.271484	21414.000000	20986.483087	2.921490
2.832031	5333.743902	3.295898	21589.000000	20998.083808	4.021700
2.856445	6158.743902	3.320312	21586.000000	21000.762939	3.983325
2.880859	6473.743902	3.344727	21607.000000	20988.030242	4.210873
2.905273	6516.743902	3.369141	21372.000000	20957.075927	2.838220
2.929687	6529.743902	3.393555	21405.000000	20915.542867	3.345469
2.954102	5921.743902	3.417969	21126.000000	20871.304426	1.752317
2.978516	5298.743902	3.442383	21511.000000	20823.588309	4.686910
3.002930	4792.743902	3.466797	20984.000000	20773.452561	1.453469
3.027344	4093.743902	3.491211	21130.000000	20721.950996	2.807130
3.051758	3667.743902	3.515625	21172.000000	20666.217680	3.476023
3.076172	3076.743902	3.540039	20718.000000	20605.747455	0.779870
3.100586	2492.743902	3.564453	20920.000000	20548.651368	2.567444
3.125000	2075.743902	3.588867	20938.000000	20487.867963	3.110802
3.149414	1595.743902	3.613281	20649.000000	20430.459949	1.520833
3.173828	1290.743902	3.637695	20674.000000	20365.972396	2.142286
3.198242	1048.743902	3.662109	20698.000000	20309.051615	2.703509
3.222656	813.743902	3.686523	20753.000000	20249.486958	3.495186
3.247070	599.743902	3.710937	20647.000000	20187.027958	3.201127
3.271484	453.743902	3.735352	20392.000000	20126.123795	1.861871
3.295898	365.743902	3.759766	20317.000000	20067.551360	1.750054
3.320312	331.743902	3.784180	20222.000000	20011.301335	1.481664
3.344727	272.743902	3.808594	20264.000000	19949.272323	2.210917
3.369141	202.743902	3.833008	20027.000000	19890.362644	0.965521
3.393555	161.743902	3.857422	20452.000000	19836.387081	4.304670
3.417969	150.743902	3.881836	19883.000000	19780.800015	0.724786
3.442383	136.743902	3.906250	19866.000000	19726.479280	0.989882
3.466797	126.743902	3.930664	20046.000000	19681.511930	2.574361
3.491211	120.743902	3.955078	19800.000000	19632.547746	1.190031
3.515625	103.743902	3.979492	19852.000000	19583.779278	1.903664
3.540039	84.743902	4.003906	19552.000000	19535.988851	0.114506
3.564453	96.743902	4.028320	19580.000000	19485.257019	0.677081
3.588867	81.743902	4.052734	19646.000000	19431.595537	1.529666
3.613281	93.743902	4.077148	19297.000000	19375.538189	-0.565374
3.637695	65.743902	4.101562	19795.000000	19322.054232	3.361504
3.662109	93.743902	4.125977	19414.000000	19265.651627	1.064695
3.686523	82.743902	4.150391	19459.000000	19204.514788	1.824325
3.710937	70.743902	4.174805	19098.000000	19142.056106	-0.318795
3.735352	75.743902	4.199219	19421.000000	19080.630188	2.442391
3.759766	83.743902	4.223633	18955.000000	19018.666689	-0.462435
3.784180	91.743902	4.248047	18941.000000	18950.686005	-0.070379
3.808594	68.743902	4.272461	19040.000000	18884.804299	1.124725
3.833008	79.743902	4.296875	19185.000000	18819.446968	2.639183
3.857422	97.743902	4.321289	19103.000000	18751.479484	2.543313
3.881836	90.743902	4.345703	18659.000000	18680.651244	-0.158503
3.906250	94.743902	4.370117	18708.000000	18611.411293	0.706176
3.930664	129.743902	4.394531	18733.000000	18545.841570	1.367432
3.955078	113.743902	4.418945	18765.000000	18475.574256	2.112822
3.979492	113.743902	4.443359	18143.000000	18407.676097	-1.964989
