Name des Datensatzes:	BLOCK 2
Wiederholrate [ns]:	19.604
Zeit Shift [ns] (fest):	0.000
Offset (fest):	3.211

Komponente 1
tau [ns]:	5.855338
A:	0.268638
%:	100.000000
f:	1.000000

t_irf	irf	t	daten	fit	res
[ns]	counts (offset korrigiert)	[ns]			counts 
1.391602	1.345679	1.660156	125.000000	110.881998	1.262753
1.416016	-1.654321	1.684570	134.000000	110.817830	2.002634
1.440430	0.345679	1.708984	113.000000	110.920773	0.195597
1.464844	6.345679	1.733398	107.000000	110.260464	-0.315201
1.489258	1.345679	1.757812	125.000000	110.470643	1.299545
1.513672	1.345679	1.782227	111.000000	110.951709	0.004584
1.538086	0.345679	1.806641	123.000000	110.343730	1.141177
1.562500	3.345679	1.831055	125.000000	111.316386	1.223900
1.586914	0.345679	1.855469	122.000000	111.250411	0.973222
1.611328	1.345679	1.879883	115.000000	109.992751	0.466928
1.635742	-0.654321	1.904297	125.000000	109.231386	1.410388
1.660156	-1.654321	1.928711	116.000000	109.174087	0.633770
1.684570	1.345679	1.953125	116.000000	108.468587	0.699274
1.708984	2.345679	1.977539	116.000000	107.818481	0.759635
1.733398	-0.654321	2.001953	123.000000	107.328457	1.413055
1.757812	2.345679	2.026367	114.000000	106.358876	0.715657
1.782227	3.345679	2.050781	113.000000	106.857050	0.577880
1.806641	-0.654321	2.075195	123.000000	106.976473	1.444793
1.831055	5.345679	2.099609	116.000000	107.472077	0.791798
1.855469	1.345679	2.124023	113.000000	106.878577	0.575855
1.879883	-2.654321	2.148437	114.000000	105.910868	0.757617
1.904297	-0.654321	2.172852	117.000000	104.780342	1.129708
1.928711	1.345679	2.197266	103.000000	104.145583	-0.112878
1.953125	-0.654321	2.221680	108.000000	105.792467	0.212420
1.977539	-0.654321	2.246094	106.000000	105.372798	0.060919
2.001953	-0.654321	2.270508	113.000000	105.279095	0.726322
2.026367	-1.654321	2.294922	102.000000	104.799637	-0.277205
2.050781	3.345679	2.319336	106.000000	104.374633	0.157870
2.075195	2.345679	2.343750	138.000000	104.494918	2.852142
2.099609	3.345679	2.368164	109.000000	103.861347	0.492194
2.124023	-0.654321	2.392578	112.000000	103.502172	0.802969
2.148437	-1.654321	2.416992	92.000000	103.082566	-1.155437
2.172852	-2.654321	2.441406	99.000000	102.235570	-0.325187
2.197266	-0.654321	2.465820	112.000000	102.479139	0.899637
2.221680	7.345679	2.490234	111.000000	103.045915	0.754968
2.246094	0.345679	2.514648	106.000000	104.916677	0.105222
2.270508	1.345679	2.539062	108.000000	106.016832	0.190830
2.294922	-0.654321	2.563477	117.000000	108.523671	0.783637
2.319336	-0.654321	2.587891	99.000000	111.082004	-1.214287
2.343750	1.345679	2.612305	108.000000	113.243548	-0.504561
2.368164	-0.654321	2.636719	105.000000	116.378223	-1.110401
2.392578	0.345679	2.661133	106.000000	122.813441	-1.633066
2.416992	-0.654321	2.685547	132.000000	127.372018	0.402814
2.441406	-1.654321	2.709961	128.000000	141.966769	-1.234500
2.465820	2.345679	2.734375	172.000000	169.063706	0.223890
2.490234	3.345679	2.758789	212.000000	219.576685	-0.520369
2.514648	8.345679	2.783203	288.000000	279.066887	0.526389
2.539062	5.345679	2.807617	384.000000	364.451036	0.997604
2.563477	10.345679	2.832031	489.000000	474.481888	0.656532
2.587891	11.345679	2.856445	694.000000	596.722747	3.692594
2.612305	9.345679	2.880859	849.000000	732.796366	3.988098
2.636719	13.345679	2.905273	1097.000000	872.222835	6.786547
2.661133	25.345679	2.929687	1145.000000	1009.491065	4.004656
2.685547	18.345679	2.954102	1298.000000	1129.830046	4.667787
2.709961	55.345679	2.978516	1515.000000	1244.399945	6.952189
2.734375	102.345679	3.002930	1564.000000	1347.236566	5.481099
2.758789	188.345679	3.027344	1630.000000	1450.899183	4.436125
2.783203	222.345679	3.051758	1735.000000	1529.776939	4.926930
2.807617	318.345679	3.076172	1770.000000	1601.260720	4.010787
2.832031	410.345679	3.100586	1839.000000	1657.228474	4.238723
2.856445	457.345679	3.125000	1860.000000	1699.866386	3.713009
2.880859	509.345679	3.149414	1855.000000	1736.243238	2.757315
2.905273	524.345679	3.173828	1894.000000	1760.563722	3.066083
2.929687	518.345679	3.198242	1973.000000	1776.849497	4.415968
2.954102	458.345679	3.222656	1927.000000	1793.768406	3.035054
2.978516	439.345679	3.247070	2018.000000	1801.868120	4.811254
